V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
 4013, 6071,13277,17031,22083,36005,36047,45083,48201,48253,48315
Maricopa,San Bernardino,Tift,Cook,Richland,Bronx,Kings,Spartanburg,Harris,Jones,Marion
Arizona,California,Georgia,Illinois,Louisiana,New York,New York,South Carolina,Texas,Texas,Texas
US,US,US,US,US,US,US,US,US,US,US
136004, 49691,  1579,131622,   717, 53441, 66558,  5593,111525,   588,   147
136040, 49691,  1584,132072,   720, 53474, 66609,  5603,112039,   588,   147
136324, 49909,  1596,132401,   728, 53496, 66703,  5617,112762,   588,   147
136571, 50210,  1612,132963,   730, 53532, 66783,  5625,113504,   583,   147
136887, 50385,  1623,133686,   728, 53618, 66914,  5786,114761,   569,   147
137292, 50543,  1628,134352,   728, 53680, 67041,  5872,115149,   562,   147
137507, 50699,  1634,134801,   732, 53729, 67174,  5977,116172,   562,   147
137589, 50709,  1638,135274,   738, 53792, 67292,  5996,117568,   562,   147
137870, 50978,  1641,135690,   739, 53835, 67352,  6044,120336,   566,   147
138151, 51252,  1655,136246,   740, 53856, 67479,  6156,120771,   571,   147
139051, 51467,  1650,136993,   741, 53937, 67655,  6261,121628,   578,   147
139245, 51750,  1661,137580,   746, 54000, 67830,  6312,122445,   584,   149
139586, 52287,  1688,138576,   746, 54057, 68005,  6352,123264,   584,   149
139856, 52471,  1693,139088,   744, 54122, 68141,  6354,123817,   584,   149
140006, 52649,  1697,139583,   745, 54174, 68259,  6361,137946,   584,   150
140314, 52873,  1713,140078,   748, 54208, 68300,  6483,138473,   580,   150
140409, 53121,  1735,140623,   749, 54235, 68371,  6565,139017,   577,   150
140584, 53359,  1747,141430,   751, 54316, 68646,  6618,139681,   583,   150
140753, 53669,  1754,142215,   752, 54386, 68846,  6693,140532,   575,   150
140963, 54386,  1771,143084,   752, 54477, 69122,  6900,140868,   575,   150
141211, 54478,  1774,143634,   786, 54545, 69400,  6917,141353,   575,   150
141377, 54482,  1775,144315,   788, 54602, 69613,  6928,141707,   575,   150
141738, 54849,  1787,144697,   779, 54654, 69729,  6948,142315,   577,   150
141856, 55203,  1803,145462,   782, 54691, 69928,  6979,142681,   577,   150
142287, 55394,  1805,146152,   784, 54783, 70082,  6974,143530,   565,   151
142566, 55671,  1813,146917,   794, 54857, 70453,  7018,146234,   567,   152
142968, 56011,  1822,147841,   794, 54919, 70767,  7156,147298,   568,   152
